,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration,,,,,,
0,1.059659004,5.69E-06,3,1.354096413,0.218025684,0.915857553,0.451365471,,,,,,
1,1.130550146,5.92E-06,3,1.408847809,0.210123777,0.977756262,0.469615936,,,,,,
2,1.281467199,5.75E-06,3,1.368445396,0.224763393,0.916867733,0.456148465,,,,,,
3,1.111996889,5.89E-06,3,1.401437283,0.223184347,0.942750692,0.467145761,,,,,,
4,1.101312876,5.80E-06,3,1.381178617,0.214054108,0.942069769,0.460392872,,,,,,
5,1.085016012,5.76E-06,3,1.371720076,0.224548578,0.920042753,0.457240025,,,,,,
6,1.152235508,6.06E-06,3,1.44298625,0.224682331,0.982243299,0.480995417,,,,,,
7,1.172314882,6.13E-06,3,1.459239721,0.213027716,1.02784276,0.48641324,,,,,,
8,1.260779142,6.09E-06,3,1.449482441,0.236373425,0.966693401,0.483160814,,,,,,
9,1.108973503,5.81E-06,3,1.384476185,0.220242977,0.937971354,0.461492062,,,,,,
10,1.217254639,6.15E-06,3,1.465020418,0.223179579,1.015778065,0.488340139,,,,,,
11,1.122638941,5.85E-06,3,1.393457413,0.220442295,0.946191072,0.464485804,,,,,,
12,1.243605852,6.38E-06,3,1.518122196,0.224200249,1.067635536,0.506040732,,,,,,
13,1.143111944,5.81E-06,3,1.382214069,0.218972445,0.942136288,0.460738023,,,,,,
14,1.214270353,5.91E-06,3,1.407502413,0.220211267,0.957748413,0.469167471,,,,,,
AVG,1.160345793,5.9327E-06,3,1.412548447,0.221068811,0.96397233,0.470849482,,,,,,
,,,,,,,,,,,,,
